product_type,channel,operations,deviations,total_amount,total_expected_fee,total_actual_fee,total_fee_diff,total_potential_loss,total_overcharge_amount,avg_abs_fee_diff,deviation_rate
account_service,branch,399,20,24581856.23,646264.8,622790.28,-23474.52,23474.52,0.0,58.833383458646615,0.05012531328320802
account_service,web,437,18,29940485.52,534384.0,518474.34,-15909.66,15909.66,0.0,36.40654462242563,0.041189931350114416
merchant_acquiring,pos,771,44,54261317.85,464845.28,449075.43,-15769.85,15769.85,0.0,20.453761348897537,0.057068741893644616
cash_withdrawals,branch,620,27,41671265.47,253020.13999999998,238980.58,-14039.56,14039.56,0.0,22.644451612903225,0.043548387096774194
merchant_acquiring,web,707,27,43281894.82,435728.19,425472.07,-10256.12,10256.12,0.0,14.506534653465348,0.03818953323903819
account_service,mobile,407,11,27891477.85,469885.95,461456.1,-8429.85,8429.85,0.0,20.712162162162162,0.02702702702702703
cash_withdrawals,atm,632,36,41288983.37,220769.51,213409.92,-7359.59,7359.59,0.0,11.64492088607595,0.056962025316455694
card_payments,pos,1116,33,79154416.1,172537.12,166662.83,-5874.29,5874.29,0.0,5.263700716845878,0.02956989247311828
domestic_transfers,web,869,18,52865453.2,103710.92,97847.02,-5863.9,5863.9,0.0,6.7478711162255465,0.020713463751438434
card_payments,web,1209,36,80663838.55,203139.68,198018.21,-5121.47,5121.47,0.0,4.236120760959471,0.02977667493796526
card_payments,mobile,1093,37,68614774.27,170779.86000000002,167565.15,-3214.71,3214.71,0.0,2.9411802378774015,0.03385178408051235
domestic_transfers,branch,859,15,52256353.92,132931.79,130484.28,-2447.51,2447.51,0.0,2.8492549476135043,0.017462165308498253
domestic_transfers,mobile,881,18,55697096.0,98899.7,96814.04,-2085.66,2085.66,0.0,2.367377979568672,0.02043132803632236
